Poço,Profundidade,COT,S1,S2,S3,Tmax,Ro,IH,IO
1-BRSA-50-ESS,1955.00,1.42,0.62,2.21,3.02,432.00,,155.63,212.68
1-BRSA-50-ESS,1973.00,1.58,0.97,2.24,3.28,425.00,,141.77,207.59
1-BRSA-50-ESS,1991.00,1.26,0.38,1.48,2.66,426.00,,117.46,211.11
1-BRSA-50-ESS,2009.00,1.04,0.51,1.50,2.47,427.00,,144.23,237.50
1-BRSA-50-ESS,2027.00,1.21,1.09,2.11,2.80,422.00,,174.38,231.41
1-BRSA-50-ESS,2063.00,1.36,1.83,2.62,3.02,421.00,,192.65,222.06
1-BRSA-50-ESS,2081.00,1.58,1.13,2.71,3.62,428.00,,171.52,229.11
1-BRSA-50-ESS,2099.00,1.41,1.18,2.38,3.75,424.00,,168.79,265.96
1-BRSA-50-ESS,2117.00,1.13,0.72,2.03,4.19,430.00,,179.65,370.80
1-BRSA-50-ESS,2135.00,1.23,0.60,2.00,4.27,430.00,,162.60,347.15
1-BRSA-50-ESS,2153.00,1.19,0.89,1.88,3.15,424.00,,157.98,264.71
1-BRSA-50-ESS,2171.00,1.02,1.02,1.91,3.19,425.00,,187.25,312.75
1-BRSA-50-ESS,2189.00,0.97,0.98,1.86,2.82,429.00,,191.75,290.72
1-BRSA-50-ESS,2207.00,0.88,1.05,1.78,3.07,432.00,,202.27,348.86
1-BRSA-50-ESS,2225.00,0.92,0.83,1.57,3.16,425.00,,170.65,343.48
1-BRSA-50-ESS,2243.00,0.98,0.52,1.17,3.15,422.00,,119.39,321.43
1-BRSA-50-ESS,2261.00,1.13,1.14,1.82,3.54,423.00,,161.06,313.27
1-BRSA-50-ESS,2279.00,0.95,0.53,1.20,3.37,423.00,,126.32,354.74
1-BRSA-50-ESS,2297.00,1.56,2.82,3.11,3.76,419.00,,199.36,241.03
1-BRSA-50-ESS,2315.00,1.15,0.84,1.66,3.56,424.00,,144.35,309.57
1-BRSA-50-ESS,2333.00,0.85,0.48,1.13,3.11,424.00,,132.94,365.88
1-BRSA-50-ESS,2351.00,0.81,0.56,1.04,3.17,423.00,,128.40,391.36
1-BRSA-50-ESS,2369.00,1.18,1.82,2.06,3.54,422.00,,174.58,300.00
1-BRSA-50-ESS,2387.00,1.05,1.25,1.77,3.66,429.00,,168.57,348.57
1-BRSA-50-ESS,2405.00,0.93,0.93,1.47,3.76,429.00,,158.06,404.30
1-BRSA-50-ESS,2423.00,0.93,1.26,1.45,3.83,411.00,,155.91,411.83
1-BRSA-50-ESS,2441.00,0.72,,,,,,,
1-BRSA-50-ESS,2459.00,0.85,,,,,,,
1-BRSA-50-ESS,2477.00,1.01,1.22,1.72,3.55,423.00,,170.30,351.49
1-BRSA-50-ESS,2495.00,0.67,,,,,,,
1-BRSA-50-ESS,2513.00,1.25,1.50,2.14,3.67,428.00,,171.20,293.60
1-BRSA-50-ESS,2531.00,1.19,1.24,2.08,4.04,429.00,,174.79,339.50
1-BRSA-50-ESS,2549.00,1.07,0.82,1.84,4.02,433.00,,171.96,375.70
1-BRSA-50-ESS,2567.00,0.94,0.54,1.40,3.53,432.00,,148.94,375.53
1-BRSA-50-ESS,2585.00,1.00,0.75,1.52,3.67,430.00,,152.00,367.00
1-BRSA-50-ESS,2603.00,0.82,,,,,,,
1-BRSA-50-ESS,2621.00,1.01,1.10,1.58,4.07,418.00,,156.44,402.97
1-BRSA-50-ESS,2639.00,0.96,0.43,1.40,3.50,433.00,,145.83,364.58
1-BRSA-50-ESS,2657.00,1.08,0.68,1.78,3.54,435.00,,164.81,327.78
1-BRSA-50-ESS,2675.00,0.98,0.62,1.66,3.39,432.00,,169.39,345.92
1-BRSA-50-ESS,2693.00,0.94,0.63,1.58,3.15,431.00,,168.09,335.11
1-BRSA-50-ESS,2711.00,0.92,0.71,1.54,3.78,432.00,,167.39,410.87
